iter	Passed	Remaining
825	71195	14997
826	71280	14911
827	71364	14824
828	71452	14738
829	71537	14652
830	71623	14565
831	71706	14479
832	71791	14392
833	71873	14305
834	71957	14219
835	72042	14132
836	72127	14046
837	72211	13959
838	72297	13873
839	72380	13786
840	72463	13699
841	72544	13612
842	72628	13526
843	72713	13439
844	72796	13353
845	72882	13267
846	72967	13180
847	73052	13094
848	73135	13007
849	73221	12921
850	73312	12836
851	73394	12749
852	73474	12662
853	73558	12575
854	73642	12488
855	73724	12402
856	73805	12315
857	73898	12230
858	73980	12143
859	74068	12057
860	74158	11972
861	74248	11886
862	74336	11800
863	74418	11713
864	74509	11628
865	74591	11541
866	74672	11454
867	74757	11368
868	74838	11281
869	74921	11195
870	75002	11108
871	75088	11022
872	75169	10935
873	75254	10849
874	75338	10762
875	75421	10676
876	75505	10589
877	75588	10503
878	75673	10416
879	75757	10330
880	75842	10244
881	75926	10158
882	76011	10071
883	76092	9985
884	76181	9899
885	76268	9813
886	76353	9727
887	76436	9640
888	76516	9553
889	76604	9467
890	76689	9381
891	76775	9295
892	76859	9209
893	76942	9122
894	77023	9036
895	77108	8950
896	77191	8863
897	77277	8777
898	77364	8691
899	77448	8605
900	77531	8519
901	77616	8432
902	77701	8346
903	77784	8260
904	77868	8174
905	77952	8087
906	78034	8001
907	78118	7915
908	78202	7828
909	78286	7742
910	78373	7656
911	78458	7570
912	78546	7484
913	78629	7398
914	78713	7312
915	78803	7226
916	78888	7140
917	78976	7054
918	79061	6968
919	79147	6882
920	79234	6796
921	79323	6710
922	79414	6625
923	79504	6539
924	79597	6453
925	79689	6368
926	79780	6282
927	79865	6196
928	79949	6110
929	80037	6024
930	80123	5938
931	80206	5851
932	80299	5766
933	80384	5680
934	80472	5594
935	80562	5508
936	80649	5422
937	80738	5336
938	80821	5250
939	80906	5164
940	80988	5077
941	81073	4991
942	81154	4905
943	81237	4819
944	81320	4732
945	81405	4646
946	81488	4560
947	81574	4474
948	81659	4388
949	81744	4302
950	81826	4216
951	81919	4130
952	82000	4044
953	82084	3957
954	82169	3871
955	82255	3785
956	82338	3699
957	82420	3613
958	82501	3527
959	82583	3440
960	82669	3354
961	82751	3268
962	82836	3182
963	82919	3096
964	83004	3010
965	83091	2924
966	83178	2838
967	83261	2752
968	83346	2666
969	83427	2580
970	83513	2494
971	83595	2408
972	83688	2322
973	83774	2236
974	83858	2150
975	83941	2064
976	84023	1978
977	84107	1891
978	84195	1806
979	84280	1720
980	84361	1633
981	84443	1547
982	84527	1461
983	84611	1375
984	84695	1289
985	84782	1203
986	84870	1117
987	84952	1031
988	85035	945
989	85117	859
990	85202	773
991	85287	687
992	85372	601
993	85453	515
994	85538	429
995	85620	343
996	85705	257
997	85788	171
998	85870	85
999	85954	0
