iter	Logloss
0	0.6645445516
1	0.6401325115
2	0.6210087515
3	0.6077277696
4	0.5954625102
5	0.5853318696
6	0.5763627172
7	0.5676893799
8	0.5603255522
9	0.5536401146
10	0.5478553142
11	0.541838441
12	0.5357948868
13	0.5307224247
14	0.5265774309
15	0.5220203578
16	0.5176370265
17	0.513773434
18	0.5103486596
19	0.5069068326
20	0.5034033423
21	0.4998494636
22	0.4967414542
23	0.493347715
24	0.4905085762
25	0.4877930049
26	0.485108793
27	0.4822256327
28	0.4794263613
29	0.4769326015
30	0.4745673598
31	0.4720686399
32	0.4701013142
33	0.4677139601
34	0.4653844729
35	0.4632977777
36	0.4612630891
37	0.4592537019
38	0.4569469337
39	0.4551840138
40	0.4534866302
41	0.451752835
42	0.449954291
43	0.4481655334
44	0.4465771017
45	0.4449586582
46	0.4434372741
47	0.4416178712
48	0.4400302736
49	0.4384767978
50	0.4370108203
51	0.4355848945
52	0.4343924953
53	0.4330039642
54	0.4317660191
55	0.4302912176
56	0.4287863458
57	0.4275492354
58	0.4262808079
59	0.4249701562
60	0.4237277386
61	0.4226510167
62	0.4214634632
63	0.4203010238
64	0.419140692
65	0.4180223878
66	0.4168208782
67	0.4156915223
68	0.4146212255
69	0.4134797652
70	0.4123557115
71	0.4114110345
72	0.410305579
73	0.4093398917
74	0.4082335295
75	0.4074194036
76	0.406423113
77	0.4055470346
78	0.4047260209
79	0.4037315286
80	0.402661303
81	0.401716463
82	0.4008575219
83	0.399834759
84	0.3990261469
85	0.3980966552
86	0.3970788039
87	0.3961539831
88	0.3952234785
89	0.3943683659
90	0.3935902181
91	0.3927340519
92	0.391887123
93	0.3910351166
94	0.3902965874
95	0.3893924723
96	0.3885575757
97	0.3877055686
98	0.3869791494
99	0.3862366764
100	0.3854748946
101	0.3846337337
102	0.3838281869
103	0.3830550878
104	0.3823120997
105	0.3815108638
106	0.3808297619
107	0.3800489358
108	0.3791945273
109	0.3784459464
110	0.3777103427
111	0.3770220979
112	0.3762660476
113	0.3754885078
114	0.3747284781
115	0.3739703323
116	0.3731715482
117	0.3723563002
118	0.3716392856
119	0.3705963697
120	0.3697727712
121	0.3689847212
122	0.3682578059
123	0.3673539884
124	0.3667030058
125	0.3660307228
126	0.3653098557
127	0.3646079634
128	0.363881632
129	0.3632015848
130	0.3624134298
131	0.3617488996
132	0.3610564161
133	0.3602443539
134	0.3594716513
135	0.3587527583
136	0.3581075522
137	0.3574396783
138	0.3567881479
139	0.3560996938
140	0.3554044543
141	0.3547025092
142	0.3540725491
143	0.3533772325
144	0.3526882038
145	0.3520745064
146	0.3514772649
147	0.3508544807
148	0.3502581014
149	0.3496830488
150	0.3489624968
151	0.3483892953
152	0.3477979252
153	0.3472526421
154	0.3465769038
155	0.3459189434
156	0.3453177709
157	0.3447383424
158	0.3441856399
159	0.3436025787
160	0.3430741627
161	0.3424563893
162	0.3419391315
163	0.3414036753
164	0.3408098573
165	0.3402897069
166	0.3396521239
167	0.3391003179
168	0.3385304259
169	0.3379987461
170	0.337444233
171	0.3369574566
172	0.3363779762
173	0.3358422896
174	0.335303557
175	0.3347585702
